car,feature,lift
acura,tech,3.6282881035532344
acura,fwd,3.5678166351606806
acura,suv,3.2753726486721
acura,design,3.2251449809362085
acura,reliable,3.0581285444234405
audi,dsg,4.810513739545998
audi,technology,3.3732260978523763
audi,family,3.0065710872162486
audi,premium,2.9634145644332404
audi,brand,2.9154628724521197
bmw,sports,2.4770134908227663
bmw,premium,2.4644645905033715
bmw,steering,2.4378640203201605
bmw,suspension,2.4371065668417327
bmw,european,2.3709714100064976
cadillac,american,5.560097216084843
cadillac,brand,5.372353673723537
cadillac,suv,4.897746837338124
cadillac,prices,4.690150032615786
cadillac,luxury,3.410716878842151
honda,design,3.372526606227828
honda,gas,3.3277929776561788
honda,quality,3.1212403100775195
honda,family,3.080171358629131
honda,tech,3.0749507292077256
hyundai,brand,4.905124543867999
hyundai,american,4.250126667792602
hyundai,quality,3.8062245491564863
hyundai,reliable,3.136998254799302
hyundai,sports,3.130786377067026
infiniti,brakes,3.5245098039215685
infiniti,european,3.5245098039215685
infiniti,technology,3.3525824964131994
infiniti,brand,3.2956455309396486
infiniti,awd,3.194879390605163
mercedes,premium,4.986540041563965
mercedes,brand,4.951790633608815
mercedes,prices,4.409451659451659
mercedes,american,4.0998696643857935
mercedes,automatic,4.079623394438209
toyota,reliable,5.0929166666666665
toyota,american,4.870645161290323
toyota,quality,3.9145555555555553
toyota,dsg,3.8715384615384614
toyota,comfortable,3.838728813559322
volkswagen,diesel,7.854621848739495
volkswagen,engines,4.1085714285714285
volkswagen,gas,4.028011204481793
volkswagen,family,3.7842105263157895
volkswagen,reliability,3.59001386962552
